Codelist_Name,ERAP_Number,Project_Title,Author,Coding System,Year_Created,DOI_Publication,Path_to_Codelist,Codelist on Github
Neuropathic Pain,21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Neuropathic_pain_Neuropathic_pain.csv,Yes
Opiod Misuse,21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Opioid_misuse_Opioid_misuse.csv,Yes
Osteoporosis,21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Osteoporosis_Osteoporosis.csv,Yes
Polycystic Ovary Syndrome (PCOS),21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/PCOS_PCOS.csv,Yes
Anxiety,21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Psychiatric_Anxiety.csv,Yes
Bipolar,21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Psychiatric_Bipolar.csv,Yes
Depression,21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Psychiatric_Depression.csv,Yes
Psychosis,21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Psychiatric_Psychosis.csv,Yes
Schizoprenia,21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Psychiatric_Schizophrenia.csv,Yes
Asthma,21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Respiratory_Asthma.csv,Yes
Bronchiectasis,21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Respiratory_Bronchiectasis.csv,Yes
Chronic Obstructive Pulmonary Disease (COPD),21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Respiratory_COPD.csv,Yes
Sleep Disorders,21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Sleep_disorders_insomniaapnea.csv,Yes
Smoking Status - Current Smoker,21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Smoking_status_current_smoker.csv,Yes
Smoking Status - Ex-Smoker,21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Smoking_status_ex_smoker.csv,Yes
Smoking Status - Non-Smoker,21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Smoking_status_non_smoker.csv,Yes
Hyperthyroidism,21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Thyroid_disease_Hyperthyroidism.csv,Yes
Hypothyroidism,21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Thyroid_disease_Hypothyroidism.csv,Yes
